category,name,address,phone,website,rating,total_ratings,place_id
Cleaners,Cleaning Services Northern Beaches,"41 Foamcrest Ave, Newport NSW 2106, Australia",0430 558 007,https://cleaningservicesnorthernbeaches.com.au/,5,5,ChIJpWx_rUzQPWsRJnWhzuilotY
Cleaners,Northern Beaches Angels Clean & Care,"Military Rd, Mosman NSW 2088, Australia",0416 530 950,http://www.northernbeachesangels.com/,4.7,13,ChIJUStVa66vEmsRMyVOCEB3vPY
Cleaners,UKRAINIAN CLEANING,"71 Narrabeen Park Parade, Warriewood NSW 2102, Australia",0413 304 206,https://cleaningua.com.au/,5,23,ChIJ4QVkqoJVDWsR18C98jFzLbs
Electricians,Northern Beaches Electrical,"20/1-7 Boronia St, Dee Why NSW 2099, Australia",0410 421 780,http://northernbeacheselectrical.com.au/,4.8,23,ChIJNR0feZqqEmsRVQkskqkryFI
Electricians,DM Electrical - Level 2 Electrician Northern Beaches,"230 Harbord Road, Brookvale NSW 2100, Australia",0410 144 047,https://www.dmelectric.com.au/,4.9,67,ChIJ3-XsbHWrEmsR-pdJvogWEyA
Electricians,Beach Hill Electrical,"2 Anthony Cl, Beacon Hill NSW 2100, Australia",0410 774 060,http://beachhillelectrical.com/,5,123,ChIJ7xzxDoKrEmsRmmU1HpL0IF0
Electricians,Plateau Electrical,"78 Claudare St, Collaroy Plateau NSW 2097, Australia",0405 954 893,https://plateauelectrical.com.au/,5,323,ChIJlSSZGQarEmsRnvdd9k1KyGQ
Electricians,All Electrical Plus,"4 Kadigal Pl, Beacon Hill NSW 2100, Australia",1300 350 632,http://www.allelectricalplus.com.au/,5,79,ChIJNRAA7l6rEmsRWowhvW9v6uI
Electricians,Northside Electrical Services,"8/110 Lawrence St, Freshwater NSW 2096, Australia",0479 158 950,https://nselectricalservices.com.au/,5,79,ChIJ4Srk2Vg2h2wRw_zaI0K6VP0
Handymen,Hemsworth & Son Handyman Northern Beaches,"92 Queens Parade E, Newport NSW 2106, Australia",0427 102 435,https://www.hemsworthson.com.au/,5,28,ChIJj6b5NiFTDWsRg4y2LkhXS_Q
Handymen,Northern Beaches Handyman,"126 Grandview Dr, Newport NSW 2106, Australia",0416 233 912,http://www.northernbeacheshandyman.com.au/,5,9,ChIJlz0LhDdTDWsRrgeE0By3aG4
Handymen,Prime Handyman Solutions,"1 Woodbine St, North Balgowlah NSW 2093, Australia",0427 597 665,http://primehandymansolutions.com.au/,5,14,ChIJO1-3pMirEmsRIECENUXxuOg
Handymen,Frank's Handyman Northern Beaches Service,"Unit 1/19 Fielding St, Collaroy NSW 2097, Australia",0406 742 080,http://www.handymannorthernbeaches.com.au/,4.6,9,ChIJO3iQnmtVDWsRvQ8vXEHAN5U
Handymen,The Artisan Handyman,"4 Glenside St, Balgowlah Heights NSW 2093, Australia",0416 103 968,http://artisanhandyman.com.au/,5,18,ChIJRTmm3parEmsRONmAkbFHp4o
Handymen,By Request Handyman Services,"3 Burchmore Rd, Manly Vale NSW 2093, Australia",0423 154 757,http://www.byrequesthandyman.com/,4.9,18,ChIJ9Wr2t62rEmsR1YH1RDCdkS8
Handymen,Handyman Services Manly Pty Ltd,"Unit 2/11 Eustace St, Manly NSW 2095, Australia",0405 948 795,,5,15,ChIJrf7j2rKrEmsRZ4cQZFjfIAA
Handymen,Scotty`s Home Handyman Northern Beaches,"11/80 Crown Rd, Queenscliff NSW 2096, Australia",0418 255 940,,5,3,ChIJf2JSGhdxMwIR2G5DE9QbUcA
Handymen,Toby's Tools,"65A Upper Beach St, Balgowlah NSW 2093, Australia",0423 962 173,http://www.tobystools.com.au/,5,36,ChIJec1KGJx2b04RpvK96xdtN8c
Handymen,Get A Handyman,"115 Crescent Rd, Newport NSW 2106, Australia",0434 129 181,https://getahandyman.au/,5,1,ChIJHR0vdNuNcikRRPIG-yaR2RU
Handymen,Manly Handyman,"52c Brighton St, Freshwater NSW 2096, Australia",0449 892 546,https://manlyhandyman.wixsite.com/chrisking,5,14,ChIJeyMtMnD_ZWkRiFmn8BWesoE
Handymen,Plateau Property & Handyman Services,"Claudare St, Collaroy Plateau NSW 2097, Australia",0408 227 773,http://www.plateauhandyman.com.au/,5,19,ChIJc49x3JRVDWsR8b-AEQ3GaMI
Landscapers,Zones Landscaping Sydney Northern Beaches - Mark Spence,"Booralie Rd, Terrey Hills NSW 2084, Australia",1800 301 020,https://www.zoneslandscaping.com.au/locations/sydney-northern-beaches?utm_source=directory&utm_medium=N4+Google+Business+Listing&utm_campaign=Mark+Spence,5,6,ChIJEf0TKlmkgKURFY0INt7pVlw
Landscapers,Lanning Landscapes,"51 Gondola Rd, North Narrabeen NSW 2101, Australia",0416 216 205,http://www.lanninglandscapes.com.au/,5,30,ChIJZUwDbeNUDWsRRfxR6REevK4
Landscapers,Lone Pine Landscapes,"531 Sydney Rd, Seaforth NSW 2092, Australia",(02) 9907 0988,http://www.lonepinelandscapes.com.au/,4.9,56,ChIJdWtuBOqrEmsRxS3kcAUHoYg
Landscapers,northern beaches landscapers,"81 Cabbage Tree Rd, Bayview NSW 2104, Australia",0413 199 980,https://nblandscapers.com.au/,5,6,ChIJ452vE4RUDWsRtjq-ALpFb6s
Landscapers,Space Landscape Designs,"138/117 Old Pittwater Rd, Brookvale NSW 2100, Australia",(02) 9905 7870,https://www.spacedesigns.com.au/,5,40,ChIJiybXhUaqEmsRF-_Y6kESz-8
Landscapers,Everest Landscape And Property Maintenance – Northern Beaches,"44-46 Dee Why Parade, Dee Why NSW 2099, Australia",0450 513 295,https://everestmaintenance.com.au/,5,2,ChIJb0VEqiGrEmsR-GfcpkfjbVE
Landscapers,Mother Nature's Landscapes,"44 Elimatta Rd, Mona Vale NSW 2103, Australia",0416 937 813,http://www.mothernatureslandscapes.com.au/,4.9,33,ChIJu4H0ZpVUDWsRxaPulcWWtYs
Landscapers,Sea Breeze Landscapes,"53 The Crescent, Dee Why NSW 2099, Australia",0412 772 714,http://www.seabreezelandscapes.com.au/,5,13,ChIJAwBMGpCqEmsRKeRE1YUeMS8
Landscapers,LDM GARDENS,"93a Warringah Rd, Narraweena NSW 2099, Australia",(02) 5301 5384,http://www.ldmgardens.com.au/,5,43,ChIJU2tUSmSqEmsROnwAon6pLTA
Landscapers,Scapemaster Landscapes,"11A Bolta Pl, Cromer NSW 2099, Australia",0414 407 732,https://scapemaster.com.au/,5,7,ChIJE33MEXiqEmsRDinxeUfH1Mg
Painters,House Painters Northern Beaches,"Suite 14/7 Grosvenor Pl, Brookvale NSW 2100, Australia",0408 213 175,https://housepaintersnorthernbeaches.com.au/,5,1,ChIJmTaD8fGrEmsRyI12ffcACyk
Painters,Pierce & Co. Painting Services,"42 Crown Rd, Queenscliff NSW 2096, Australia",0435 299 449,,5,35,ChIJg5ZV9XCrEmsRVYPpQ2bZQpg
Painters,Colourcast Painting and Decorating,"6 Orara Rd, Allambie Heights NSW 2100, Australia",0406 091 739,https://colourcastpainting.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb,5,116,ChIJt6zQe7KrEmsROqmdkY2tzGQ
Painters,Sydney Northern Beaches Painting,"4 Danby St, Prospect NSW 2148, Australia",0401 029 024,https://snbp.com.au/,5,4,ChIJ0ZQ-_iiLagQRZipvWVW7_Vg
Painters,Painting Lab,"1219 Pittwater Rd, Collaroy NSW 2097, Australia",,http://www.paintinglab.com.au/,5,30,ChIJf0Fa5MdVDWsR1bLYwzbJIMM
Painters,A Fine Brush Stroke Painting Service,"70-72 Howard Ave, Dee Why NSW 2099, Australia",0411 446 153,http://afbspainters.com.au/,5,31,ChIJoc6J_jmrEmsReOKgsUn3IrI
Painters,North Sydney Painting,"73 Lower Bent St, Neutral Bay NSW 2089, Australia",0487 556 397,http://www.northsydneypainting.com/,5,42,ChIJ3Ye34eKvEmsRxo2MEim94bs
Painters,Seascape Painting and Decorating,"10 Gowrie Pl, Cromer NSW 2099, Australia",0411 565 239,http://www.seascapepainting.com.au/,5,12,ChIJ99FuIIxVDWsR6hOPV7zsBkA
Plumbers,Plumd In Plumbing Northern Beaches,"52 Abingdon St, North Balgowlah NSW 2093, Australia",0426 483 191,https://plumdinplumbing.com.au/,5,96,ChIJ2Xvw2rerEmsRqJBVwvBD85k
Plumbers,Collis Bros Plumbing,"G2/1 Campbell Parade, Manly Vale NSW 2093, Australia",(02) 9907 9807,https://collisbrosplumbing.com.au/,4.9,122,ChIJn0zBjlaqEmsRqSpQRmHCT-o
Plumbers,Hello Plumbing,"Unit 2/63 Cassia St, Dee Why NSW 2099, Australia",1300 303 055,https://helloplumbing.com.au/,4.9,917,ChIJtSaLsh1WDWsR8PcPnuj1lQI
Plumbers,At Your Service Plumbing,"19b Ronald Ave, Narraweena NSW 2068, Australia",0468 173 052,https://atyourserviceplumbing.com.au/?utm_source=google&utm_medium=organic&utm_campaign=Google_Maps,4.9,240,ChIJB3qWj5OrEmsR8_pfqW8_tBw
Plumbers,23 Plumbing,"105 McIntosh Rd, Narraweena NSW 2099, Australia",0421 994 700,https://23plumbing.com.au/,5,64,ChIJKxxVY1NToyURsGs7dsZ0mFM
Plumbers,Curl Curl Plumbing,"C3/1 Campbell Parade, Manly Vale NSW 2093, Australia",1300 566 292,https://www.curlcurlplumbing.com.au/,4.8,302,ChIJj2WfU1OqEmsR83nc5L718Zk
Plumbers,Network Plumbing Terrey Hills - Blocked Drain & Emergency Plumber Sydney,"38 Myoora Rd, Terrey Hills NSW 2084, Australia",(02) 8072 3879,https://www.networkplumbing.com.au/?utm_source=GBPlisting&utm_medium=organic,4.8,731,ChIJ5eQXiNiuEmsRyc17GtwCYSQ
Plumbers,Northern Beaches Blocked Drains,"Unit 1/52 Abingdon St, North Balgowlah NSW 2093, Australia",0416 962 481,http://www.northernbeachesblockeddrain.com.au/,5,7,ChIJM081oEirEmsRVC4qNxDgor4
